ANTELACION_DIAS,HOTEL_SIZE,ADR,NOCHES,NENES,BEBES,STATUS_BOOL,SEGMENTO_COD,PAIS_AGRUPADO_COD,HABITACION_LIMPIA_COD,GRUPO_TIPO_COD,FUENTE_NEGOCIO_DIRECT SALES,FUENTE_NEGOCIO_E-COMMERCE,FUENTE_NEGOCIO_OTHERS,FUENTE_NEGOCIO_T.O. / T.A.,PAX_TIPO_PAREJAS,PAX_TIPO_SINGLE,TEMPORADA_BAJA,TEMPORADA_MEDIA,DISTANCIA_LARGO,DISTANCIA_MEDIO,DISTANCIA_NO INFO
349,GRANDE,368.0,7,1,0,0,0.375496596876965,0.4235103291852269,0.5024373692280311,0,True,False,False,False,False,False,False,False,False,False,False
193,GRANDE,284.9,7,1,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,False,False,False,False,False,False,False
203,GRANDE,288.2,8,0,0,1,0.375496596876965,0.3082210965283459,0.3975930893786635,0,True,False,False,False,True,False,False,True,False,True,False
257,GRANDE,288.20000000000005,17,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,True,False,False,False
281,GRANDE,173.93,14,0,0,1,0.375496596876965,0.4426721252232782,0.3975930893786635,0,True,False,False,False,False,True,False,True,True,False,False
124,GRANDE,148.0,7,0,0,1,0.375496596876965,0.2471437315444891,0.3973135510480495,0,True,False,False,False,True,False,False,True,False,True,False
251,GRANDE,269.28000000000003,16,0,0,1,0.375496596876965,0.3082210965283459,0.3973135510480495,0,True,False,False,False,True,False,False,True,False,True,False
119,GRANDE,77.0,4,0,0,1,0.375496596876965,0.4488558862852849,0.3464035816116707,0,False,False,False,True,False,True,False,False,False,True,False
38,GRANDE,136.10000000000002,9,1,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,False,False,False,False,False,False,True
10,GRANDE,109.36,7,0,0,1,0.4785470697023485,0.4426721252232782,0.3464035816116707,0,False,True,False,False,True,False,False,False,False,False,True
218,GRANDE,134.0,3,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
316,GRANDE,184.25,3,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,False,False,False,False,False,False,False
60,GRANDE,573.3733333333333,6,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,True
81,GRANDE,176.32,7,1,0,1,0.375496596876965,0.4405564544781278,0.3975930893786635,0,False,False,False,True,False,False,False,False,False,True,False
100,GRANDE,109.36,9,0,0,1,0.375496596876965,0.2219407126844055,0.3975930893786635,0,False,False,False,True,True,False,False,False,True,False,False
74,GRANDE,109.36,7,0,0,1,0.4785470697023485,0.4426721252232782,0.3464035816116707,0,False,True,False,False,True,False,False,False,False,False,True
261,GRANDE,467.81663157894735,5,1,0,1,0.4785470697023485,0.3177865364253255,0.3975930893786635,0,False,True,False,False,False,False,False,False,False,False,False
114,GRANDE,343.3010526315789,3,0,0,0,0.3823853976768591,0.3177865364253255,0.359469705872788,0,True,False,False,False,True,False,True,False,False,False,False
387,GRANDE,365.79,5,0,0,0,0.3823853976768591,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
0,GRANDE,632.6231578947369,1,0,0,0,0.3823853976768591,0.2471437315444891,0.3973135510480495,0,True,False,False,False,True,False,False,False,False,True,False
31,GRANDE,314.81,4,0,0,0,0.3659447572876302,0.4426721252232782,0.3975930893786635,0,True,False,False,False,False,False,False,False,False,True,False
108,GRANDE,534.6252631578947,4,2,1,0,0.3659447572876302,0.3177865364253255,0.3975930893786635,0,True,False,False,False,False,False,True,False,False,False,False
73,GRANDE,466.81,4,0,0,0,0.4785470697023485,0.4235103291852269,0.3459754209670617,0,True,False,False,False,True,False,True,False,False,False,False
3,GRANDE,422.57,2,0,0,0,0.3659447572876302,0.270723535097418,0.3459754209670617,0,True,False,False,False,True,False,False,False,False,True,False
46,GRANDE,389.87,4,0,0,0,0.3659447572876302,0.4235103291852269,0.3536763452541139,0,True,False,False,False,False,False,False,False,False,False,False
24,GRANDE,633.7643564356437,4,1,0,0,0.3659447572876302,0.4405564544781278,0.3975930893786635,0,True,False,False,False,False,False,False,False,False,True,False
54,GRANDE,298.91,3,0,0,0,0.3659447572876302,0.270723535097418,0.3464035816116707,0,True,False,False,False,True,False,False,False,False,True,False
66,GRANDE,109.36,14,0,0,1,0.375496596876965,0.2219407126844055,0.3975930893786635,0,False,False,False,True,True,False,False,False,True,False,False
393,GRANDE,267.7207920792079,5,1,0,1,0.3659447572876302,0.4405564544781278,0.3975930893786635,0,True,False,False,False,False,False,False,False,False,True,False
82,GRANDE,498.47,3,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,False,False,False,True,False,False,True
105,GRANDE,109.36,14,0,0,1,0.375496596876965,0.4426721252232782,0.3975930893786635,0,False,False,False,True,True,False,False,True,True,False,False
