ANTELACION_DIAS,HOTEL_SIZE,ADR,NOCHES,NENES,BEBES,STATUS_BOOL,SEGMENTO_COD,PAIS_AGRUPADO_COD,HABITACION_LIMPIA_COD,GRUPO_TIPO_COD,FUENTE_NEGOCIO_DIRECT SALES,FUENTE_NEGOCIO_E-COMMERCE,FUENTE_NEGOCIO_OTHERS,FUENTE_NEGOCIO_T.O. / T.A.,PAX_TIPO_PAREJAS,PAX_TIPO_SINGLE,TEMPORADA_BAJA,TEMPORADA_MEDIA,DISTANCIA_LARGO,DISTANCIA_MEDIO,DISTANCIA_NO INFO
29,PEQUEÑO,246.23,1,0,0,0,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,True,False
10,PEQUEÑO,421.02,4,0,0,1,0.36594475728763026,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
726,PEQUEÑO,235.0,7,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
7,PEQUEÑO,356.06,2,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
59,PEQUEÑO,402.71,2,0,0,1,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,True,False
59,PEQUEÑO,441.994,5,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
4,PEQUEÑO,378.1,2,0,0,1,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,True,False
58,PEQUEÑO,512.53,2,0,0,1,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,False,False,False,False,False,True,False
31,PEQUEÑO,109.36,6,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
21,PEQUEÑO,109.36,3,0,0,0,0.38238539767685914,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
45,PEQUEÑO,318.6,7,0,0,0,0.375496596876965,0.44055645447812786,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,True,False
293,PEQUEÑO,505.44,2,0,0,1,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,True,False
48,PEQUEÑO,109.36,4,0,0,1,0.38238539767685914,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
142,PEQUEÑO,164.71749999999997,4,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
205,PEQUEÑO,327.8,2,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
48,PEQUEÑO,369.2366666666667,3,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
205,PEQUEÑO,327.8,2,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
205,PEQUEÑO,327.8,2,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
101,PEQUEÑO,218.7,3,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
135,PEQUEÑO,240.57,2,0,0,1,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,True,False
128,PEQUEÑO,179.36,5,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
141,PEQUEÑO,109.36,3,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
19,PEQUEÑO,147.64,7,0,0,0,0.36594475728763026,0.4235103291852269,0.3975930893786635,0,True,False,False,False,False,False,True,False,False,False,False
8,PEQUEÑO,109.36,3,0,0,0,0.36594475728763026,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,False,False
1,PEQUEÑO,343.26,2,0,0,0,0.36594475728763026,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,False,False
27,PEQUEÑO,109.36,3,0,0,0,0.36594475728763026,0.4235103291852269,0.39731355104804955,0,True,False,False,False,True,False,True,False,False,False,False
19,PEQUEÑO,109.36,1,0,0,0,0.36594475728763026,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,False,False
2,PEQUEÑO,506.22,3,0,0,0,0.375496596876965,0.4235103291852269,0.39731355104804955,0,True,False,False,False,True,False,False,False,False,False,False
41,PEQUEÑO,109.36,1,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,True,False,False,False,False
103,PEQUEÑO,109.36,4,0,0,0,0.36594475728763026,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
38,PEQUEÑO,368.02,4,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,False
43,PEQUEÑO,362.75,4,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,False,True,False,False
11,PEQUEÑO,304.20875,8,0,0,1,0.4785470697023485,0.44055645447812786,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,True,False
160,PEQUEÑO,202.162,10,0,0,1,0.36594475728763026,0.24714373154448915,0.3975930893786635,0,True,False,False,False,False,True,True,False,False,True,False
5,PEQUEÑO,251.96,3,0,0,0,0.36594475728763026,0.27072353509741803,0.3975930893786635,0,True,False,False,False,False,True,True,False,False,True,False
126,PEQUEÑO,50.02666666666666,6,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,True
10,PEQUEÑO,109.36,4,0,0,0,0.375496596876965,0.4235103291852269,0.39731355104804955,0,False,False,False,True,True,False,True,False,False,False,False
28,PEQUEÑO,174.07333333333335,3,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,False,True,False,True,False,False,False
79,PEQUEÑO,109.36,7,0,0,0,0.4785470697023485,0.31778653642532556,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
79,PEQUEÑO,109.36,9,0,0,0,0.4785470697023485,0.31778653642532556,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
75,PEQUEÑO,331.68999999999994,5,0,0,0,0.36594475728763026,0.27072353509741803,0.3975930893786635,0,True,False,False,False,True,False,False,True,False,True,False
133,PEQUEÑO,109.36,3,0,0,0,0.375496596876965,0.4235103291852269,0.3459754209670617,0,False,False,False,True,True,False,False,True,False,False,False
155,PEQUEÑO,109.36,6,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
84,PEQUEÑO,109.36,12,0,0,0,0.38238539767685914,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
128,PEQUEÑO,362.6,7,0,0,0,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,True,False
1,PEQUEÑO,376.27,2,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
344,PEQUEÑO,134.94857142857143,7,0,0,1,0.36594475728763026,0.28336811953080876,0.3975930893786635,0,True,False,False,False,True,False,False,True,True,False,False
26,PEQUEÑO,109.36,5,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,True,False,False,False
22,PEQUEÑO,539.86,2,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,True
17,PEQUEÑO,54.68,4,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,False,True,False,False,False,False,False
49,PEQUEÑO,257.598,5,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,True,True,False,False
38,PEQUEÑO,330.4433333333333,6,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,True,False
12,PEQUEÑO,109.36,4,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
47,PEQUEÑO,310.97666666666663,3,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,True
54,PEQUEÑO,440.4,4,0,0,1,0.38238539767685914,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
